Optimization_Flags,Resolution_500,Resolution_1500,Resolution_2500,Resolution_3500,Resolution_4500,Average_Performance
-O0,482.10,415.97,311.15,262.53,251.68,344.69
-O1,1433.88,1067.15,746.10,599.92,588.59,887.13
-O2,1729.75,1012.54,729.56,670.84,690.78,966.69
-O3,1749.83,874.53,738.93,691.28,701.27,951.17
-Ofast,1733.54,1135.92,765.05,691.45,696.74,1004.54
-O3_-xhost,1765.77,743.96,731.83,689.18,713.23,928.79
-Ofast_-xhost,1725.44,1231.55,778.34,694.75,718.89,1029.79
-O3_-xhost_-ipo,1856.23,1237.94,786.83,706.12,715.07,1060.44
-O3_-xhost_-ipo_-fno-alias,1858.49,1233.42,783.88,693.34,708.90,1055.61
-O3_-ipo_-fno-alias_-xCORE-AVX512,1840.33,1175.70,779.59,691.10,706.63,1038.67